CPF,Tempo
11111111111,00:10:30
11111111112,01:42:15
11111111113,01:48:20
11111111114,01:50:45
11111111115,01:52:10
11111111116,01:38:25
11111111117,01:44:50
11111111118,01:46:35
11111111119,01:49:15
11111111120,01:51:40
11111111121,01:43:20
11111111122,01:47:55
11111111123,01:45:10
11111111124,01:48:30
11111111125,01:50:20
22222222221,01:55:30
22222222222,01:52:15
22222222223,01:58:20
22222222224,02:00:45
22222222225,02:02:10
22222222226,01:48:25
22222222227,01:54:50
22222222228,01:56:35
22222222229,01:59:15
22222222230,02:01:40
22222222231,01:53:20
22222222232,01:57:55
22222222233,01:55:10
22222222234,01:58:30
22222222235,02:00:20
33333333331,01:30:45
33333333332,01:28:20
33333333333,01:32:15
33333333334,01:35:30
33333333335,01:33:45
33333333336,01:26:10
33333333337,01:31:25
33333333338,01:29:50
33333333339,01:34:15
33333333340,01:36:40
33333333341,01:27:35
33333333342,01:30:20
33333333343,01:32:55
33333333344,01:35:10
33333333345,01:33:25
44444444441,01:40:30
44444444442,01:38:15
44444444443,01:42:20
44444444444,01:45:45
44444444445,01:43:10
44444444446,01:36:25
44444444447,01:41:50
44444444448,01:39:35
44444444449,01:44:15
44444444450,01:46:40
44444444451,01:37:20
44444444452,01:40:55
44444444453,01:43:10
44444444454,01:45:30
44444444455,01:41:25
55555555551,01:50:30
55555555552,01:48:15
55555555553,01:52:20
55555555554,01:55:45
55555555555,01:53:10
55555555556,01:46:25
55555555557,01:51:50
55555555558,01:49:35
66666666661,01:55:30
66666666662,01:53:15
66666666663,01:57:20
66666666664,02:00:45
66666666665,01:58:10
66666666666,01:51:25
66666666667,01:56:50
66666666668,01:54:35
77777777771,02:05:30
77777777772,02:08:15
88888888881,02:10:30
88888888882,02:12:15
99999999999,01:30:00
99999999998,01:25:00
99999999997,01:35:00
